gene	p	fdr
OR13G1	1	1
DNAJC13	0.00110542215411376	0.0119135562570228
MRPL21	1	1
OPRK1	1	1
SLC15A2	1	1
NKAIN2	1	1
SLC5A8	1	1
ADGRG4	1	1
KATNA1	0.000619826166904434	0.0077753504507328
MUSK	1	1
ABCB4	1	1
RAPGEF2	2.79608948101275e-06	0.00013359911017525
ZKSCAN5	0.0461313416879245	0.144897754356668
HRNR	2.01063594642046e-12	7.67573857924029e-10
KLF8	1	1
AGTR1	0.00909094697915047	0.0591291626447892
TGIF2LX	1	1
DTX3L	1	1
RPH3A	1	1
ACAP2	0.047978429259472	0.147619337376828
MTX3	1	1
HCN4	1	1
MSL2	0.000477812210340419	0.0063972487877331
BRAF	0	0
CEP76	0.0266480422572025	0.112225282314546
LARP1	1	1
COG5	0.00542289599984145	0.0403361800936074
GPR132	1	1
ABCC11	1	1
CARD8	1	1
DCAKD	0.000303554779414154	0.00461244803983015
PHF10	0.0407650111675496	0.137917552752488
SEMA6C	1	1
TTLL7	1	1
CCDC63	1	1
CRTAP	1	1
ZAP70	0.000163220632535571	0.00297867110408907
CEP85	1	1
RNF10	0.00344349911149392	0.0283698421446468
KIF3C	1	1
SAMD3	1	1
FAM84A	1	1
ATG12	1	1
SH3D21	0.00617391147934192	0.0445385595739043
PAICS	0.0210870080033086	0.0996882367031758
JAKMIP2	1	1
ZNF799	1	1
AMDHD1	1	1
TMEM126B	1	1
VAV1	0.020493777683762	0.0980272975899552
DPPA4	1	1
LONRF2	1	1
WWC3	1	1
ZNF672	0.00314976849124334	0.0263725429394263
ERGIC3	1	1
DCLRE1C	2.09396312056575e-09	3.47967400917543e-07
FDXACB1	1	1
DDX42	8.17850093812815e-07	5.13428114449156e-05
NUB1	1	1
VWCE	1	1
GMDS	1	1
ZNF548	1	1
ARID5A	1	1
VEPH1	1	1
CHUK	1	1
PCDHA4	1	1
MYO5B	0.0159360455820002	0.0852961894072577
SLC26A10	1	1
FOXA2	0.00169710951636225	0.0160238448653855
ALOX12B	1	1
CYP8B1	1	1
PPP2R2C	1	1
EFHC1	1	1
ACTA1	0.000272941037302306	0.00430697950102766
PLA2R1	1	1
PCMTD2	0.0141628287798935	0.0791336853306944
AGAP1	0.0280181948297558	0.115246651709464
TYR	1	1
MYBPC3	1	1
TANGO2	1	1
UBE2C	1	1
ZNF483	1	1
NTRK1	1	1
GPR155	0.0345760844214668	0.127184164701359
HIST1H2BB	1	1
VIT	1	1
ZNF468	1	1
GSTT2	1	1
DDX3X	1	1
PCDHGB1	1	1
TMEM198	1	1
TBC1D32	1	1
MASP1	1	1
ADCY9	0.0322891728478052	0.122995472277844
LRRC27	0.017404066168316	0.0891379928199848
PSMD2	0.0190538370657385	0.094301138245815
DHX38	0.0130143128961298	0.0753766054033366
NDE1	0.000381711414796759	0.00544613508485275
VAV3	0.0130279098794384	0.0753868197652876
ACADVL	0.0305712836375786	0.119851205223282
HSPD1	0.0367116345101186	0.130815297037191
VLDLR	1	1
RCOR1	0.000361586054514504	0.0052116357347116
KCNQ3	1	1
FBXW7	0.000305108407670425	0.00461568382337169
PPARGC1B	0.0202407712113083	0.0970800996128115
SARDH	1	1
TRIM55	1	1
ZNF428	1	1
ZKSCAN2	0.0293879619823744	0.117762121488265
PDPR	1	1
CDH15	1	1
ITCH	4.73888941536983e-05	0.0011600834140745
PHLDB2	0.00388843939152396	0.0311706592358624
IGSF11	1	1
HNRNPH1	0.00640293333278802	0.0457931307977877
JAKMIP1	1	1
OR8K5	1	1
APOA1	1	1
CDCA5	1	1
DUSP10	1	1
ZNF25	1	1
CNBD2	1	1
RPN2	1	1
HPSE2	1	1
PLEKHG5	0.000307125100421173	0.00463634926415246
SIRT7	1	1
PLCXD1	1	1
TFDP1	1	1
MYOCD	0.0111314647175326	0.0680952529818745
TPM1	0.023098268697278	0.10460501614269
MMAB	1	1
SETBP1	1	1
ABCA6	1	1
FAM122B	0.000251449215977411	0.00404063728746408
LILRA4	1	1
FLI1	1	1
SNX16	1	1
CEP290	0.0401561348169235	0.136819482880873
CD2	1	1
SRXN1	1	1
DHTKD1	1	1
KIAA1715	0.0136966565328525	0.0776968969986108
RAPGEF5	0.00445014063532348	0.034670841960256
CSF3R	1	1
SLC1A4	0.0325111832294201	0.123396700152328
SAXO1	0.0131797830708281	0.0758307274441738
ARL15	1	1
UPF1	0.0229973508360357	0.104317829740258
SYCP2	1	1
HIST1H4B	1	1
TRPV3	1	1
PDE3A	0.000157299906031357	0.00290439368979467
MPHOSPH8	1	1
PRKCD	1	1
PLSCR4	1	1
PTCH2	1	1
TLR8	0.00723017206836901	0.049981362366898
ACVR1B	0.0127989548527339	0.0746814871115064
TAF1	1	1
TMCC2	1	1
PARP4	0.000564162911949514	0.00725327064216396
MARCH6	1	1
RTN1	1	1
KIF7	7.02026130847373e-10	1.37723876364155e-07
CALCRL	1	1
CD163	0.0135843824321264	0.0773245176476331
KDM2A	0.0285691269237735	0.116226646831308
DDX54	0.000169761257453636	0.00305462135227083
PLA2G4C	1	1
RBM6	1	1
AVEN	4.73681602218442e-05	0.0011600834140745
FGA	1	1
RMI1	1	1
CD55	0.0242357642444727	0.106808926571592
CDCA7	6.23290490394487e-05	0.00144327511095445
ITPR1	3.04744904949315e-05	0.000832596089440826
FKBP9	1	1
CYP2D6	1	1
SLC7A2	1	1
NOL8	0.000288660847836727	0.00448058733592722
HEXIM2	0.0260846260206824	0.111211995937863
ZBTB14	0.00896698239233498	0.0586654128261842
TOM1L1	1	1
SNRNP70	0.0040493644942867	0.0321513622719503
MAPT	1	1
SPTBN2	3.41793734266862e-06	0.000154925663253617
SOWAHB	1	1
LNPEP	1	1
RAD1	1	1
CARD10	1	1
SRSF4	0.0264616718651794	0.112075296880258
PSG9	1	1
PEAR1	1	1
KDM3A	0.00127632333820601	0.0131304203584559
LRRC37B	1	1
PSMB5	0.0467570009839014	0.145895052588346
KHNYN	0.0314365786506572	0.121455599956382
ARHGEF11	1.06079959442751e-06	6.16617048201177e-05
ABL1	0.000183960919734869	0.00321988598668528
PCDHA6	1	1
NCKAP1L	1	1
MCM7	0.036847219267083	0.130935087332716
HERC6	1	1
CHD1	0.0200676632786428	0.0966765838372542
ALPI	0.00127791170125194	0.0131330151500023
GFER	1	1
ZBTB34	1	1
TUBA3E	1	1
FCHO1	2.87331704664548e-05	0.000791142364207941
MPP1	0.0461930752537979	0.144980386859585
SCAPER	1	1
EIF2AK1	0.0388919843403974	0.134348075032554
UBQLN3	1	1
RGS18	0.0178419216961106	0.0903611129284912
KCND2	1	1
PRR30	1	1
ELF3	1	1
TBX5	1	1
MCOLN1	0.00184800790687874	0.0170720154902958
GLB1L3	0.0478035286145117	0.147396822021388
TPCN2	1	1
ADAT3	1	1
RFPL4A	1	1
DCBLD1	1	1
ARFGEF2	8.8739515453827e-06	0.000323053004068378
RAB10	1	1
RAD50	6.58531856413702e-10	1.3101073904005e-07
